time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,stationName,active
2020-11-01T19:55:38.023Z,38.0277,-0.6667,6.73,2.6,ml,,108,0.513,0.77,us,us7000c92k,2020-11-02T13:39:51.384Z,"5 km NNE of Torrevieja, Spain",earthquake,5.5,9.2,0.181,4,reviewed,us,us,tram xxx,1
2020-11-01T19:35:59.725Z,52.7095,-168.2038,35,3.9,mb,,200,1.034,1.06,us,us7000c90j,2020-11-01T23:14:01.907Z,"51 km ESE of Nikolski, Alaska",earthquake,7.8,2,0.101,26,reviewed,us,us,tram xxx,1
2020-11-01T17:13:51.560Z,17.9425,-66.9008,13,3.2,md,21,202,0.0391,0.17,pr,pr2020306008,2020-11-01T19:29:11.382Z,"3 km SSE of Guánica, Puerto Rico",earthquake,0.59,0.3,0.24,20,reviewed,pr,pr,tram xxx,1
2020-11-01T16:24:55.390Z,-6.2382,146.2706,115.02,4.5,mb,,76,3.267,0.84,us,us7000c8zc,2020-11-01T17:07:04.040Z,"45 km E of Kainantu, Papua New Guinea",earthquake,8.7,8.1,0.089,37,reviewed,us,us,tram xxx,1
2020-11-01T16:04:24.545Z,61.1198,-151.1195,44.7,3,ml,,,,0.63,ak,ak020e2c01iw,2020-11-01T21:46:13.040Z,"3 km SW of Beluga, Alaska",earthquake,,0.9,,,automatic,ak,ak,tram xxx,1
2020-11-01T15:58:49.377Z,37.951,69.2346,10,4.6,mb,,84,2.438,0.77,us,us7000c8z8,2020-11-01T21:44:43.040Z,"18 km SSW of Danghara, Tajikistan",earthquake,6.9,1.9,0.136,16,reviewed,us,us,tram xxx,1
2020-11-01T15:56:50.276Z,44.2866,-115.1458,10.31,2.6,ml,,81,0.896,1.21,us,us7000c8z4,2020-11-02T15:49:21.020Z,"18 km WNW of Stanley, Idaho",earthquake,2.8,10.5,0.059,38,reviewed,us,us,tram xxx,1
2020-11-01T14:49:58.700Z,9.854,57.3099,10,4.6,mb,,126,15.046,1.09,us,us7000c8yv,2020-11-01T15:29:36.040Z,Carlsberg Ridge,earthquake,13.4,1.9,0.094,34,reviewed,us,us,tram xxx,1
2020-11-01T13:47:54.452Z,-21.7791,-68.2503,136.48,4,mb,,116,0.921,0.37,us,us7000c8yj,2020-11-01T14:59:49.040Z,"102 km NE of Calama, Chile",earthquake,4.9,10.5,0.26,4,reviewed,us,us,tram xxx,1
2020-11-01T13:15:41.960Z,44.3342,15.4335,10,4.6,mb,,20,1.318,0.52,us,us7000c8yb,2020-11-02T19:59:37.154Z,"4 km N of Starigrad, Croatia",earthquake,4.4,1.9,0.093,34,reviewed,us,us,tram xxx,1
2020-11-01T12:57:05.799Z,37.8021,26.8591,22.33,4.4,mb,,50,1.505,1.04,us,us7000c8y9,2020-11-01T13:31:46.040Z,"3 km NW of Kokkári, Greece",earthquake,5.4,3.4,0.148,13,reviewed,us,us,tram xxx,1
2020-11-01T11:58:05.924Z,-24.2129,-66.9651,211.31,4.3,mb,,97,1.677,0.71,us,us7000c8y0,2020-11-01T12:11:33.040Z,"65 km W of San Antonio de los Cobres, Argentina",earthquake,9,8.6,0.202,7,reviewed,us,us,tram xxx,1
2020-11-01T11:45:52.330Z,17.9115,-66.8815,4,2.81,md,21,206,0.0636,0.17,pr,pr2020306006,2020-11-01T14:16:49.866Z,"7 km SSE of Guánica, Puerto Rico",earthquake,0.48,0.38,0.2,20,reviewed,pr,pr,tram xxx,1
2020-11-01T11:44:42.634Z,65.3628,-168.6494,26.7,4.6,ml,,,,0.84,ak,ak020e299hoi,2020-11-01T19:47:17.593Z,"37 km SW of Wales, Alaska",earthquake,,0.5,,,reviewed,ak,ak,tram xxx,1
2020-11-01T11:42:24.710Z,64.1026,-154.5109,6.2,2.6,ml,,,,0.8,ak,ak020e2990q7,2020-11-01T12:01:14.040Z,"85 km SSE of Ruby, Alaska",earthquake,,0.6,,,automatic,ak,ak,tram xxx,1
2020-11-01T08:52:19.140Z,19.0891,-67.6628,6,3.42,md,18,247,0.7282,0.42,pr,pr2020306005,2020-11-01T10:31:26.040Z,"88 km NW of San Antonio, Puerto Rico",earthquake,3.45,3.35,0.13,9,reviewed,pr,pr,tram xxx,1
2020-11-01T08:33:38.860Z,46.8675,-112.5225,13.21,2.61,ml,21,101,0.046,0.14,mb,mb80472799,2020-11-01T16:37:57.918Z,"15 km SE of Lincoln, Montana",earthquake,0.38,0.37,0.155,18,reviewed,mb,mb,tram xxx,1
2020-11-01T07:33:09.494Z,37.8255,26.923,10,4.2,mb,,49,1.449,0.72,us,us7000c8ws,2020-11-01T07:49:24.040Z,"5 km NNE of Kokkári, Greece",earthquake,4,2,0.141,14,reviewed,us,us,tram xxx,1
2020-11-01T07:27:11.663Z,-62.3231,-58.2534,10,4.7,mb,,70,0.209,0.56,us,us7000c8x3,2020-11-01T09:28:28.040Z,South Shetland Islands,earthquake,8.3,1.9,0.085,42,reviewed,us,us,tram xxx,1
2020-11-01T07:05:13.705Z,37.8304,27.0652,10,4.2,mb,,47,1.348,0.61,us,us7000c8wp,2020-11-01T07:35:39.040Z,"11 km NE of Samos, Greece",earthquake,2.1,1.9,0.187,8,reviewed,us,us,tram xxx,1
2020-11-01T05:22:07.052Z,-62.3738,-58.3348,10,4.8,mb,,94,3.511,0.48,us,us7000c8wd,2020-11-01T05:40:17.040Z,South Shetland Islands,earthquake,5,1.9,0.097,33,reviewed,us,us,tram xxx,1
2020-11-01T05:10:13.470Z,17.8493,-66.8645,10,2.59,md,21,236,0.1267,0.13,pr,pr2020306004,2020-11-01T05:31:43.773Z,Puerto Rico region,earthquake,0.49,0.59,0.15,12,reviewed,pr,pr,tram xxx,1
2020-11-01T05:01:09.156Z,10.0045,-84.065,73.67,5.1,mww,,77,0.045,0.99,us,us7000c8w9,2020-11-02T19:17:27.491Z,"1 km WNW of Ángeles, Costa Rica",earthquake,7,3.7,0.051,37,reviewed,us,us,tram xxx,1
2020-11-01T04:34:52.910Z,54.3345,-159.5897,21.32,4.3,mb,,210,0.497,0.8,us,us7000c8w1,2020-11-01T04:47:47.040Z,"125 km SSE of Sand Point, Alaska",earthquake,7.2,6.7,0.238,5,reviewed,us,us,tram xxx,1
2020-11-01T04:17:14.850Z,17.9371,-66.9878,5,2.76,md,21,219,0.065,0.09,pr,pr2020306003,2020-11-01T05:04:06.589Z,"7 km SE of La Parguera, Puerto Rico",earthquake,0.5,0.27,0.43,20,reviewed,pr,pr,tram xxx,1
2020-11-01T04:15:45.028Z,31.7227,-104.0869,5,2.8,ml,,58,0.216,0.33,us,us7000c8vt,2020-11-01T04:26:15.040Z,"46 km W of Mentone, Texas",earthquake,0.8,2,0.062,84,reviewed,us,us,tram xxx,1
2020-11-01T03:43:20.361Z,-7.061,129.2466,181.21,5.7,mww,,17,2.231,1.06,us,us7000c8va,2020-11-02T03:46:15.573Z,"295 km ENE of Lospalos, Timor Leste",earthquake,7.6,5.6,0.071,19,reviewed,us,us,tram xxx,1
2020-11-01T03:32:57.824Z,-5.2415,102.4521,13.93,4.8,mb,,100,1.008,0.83,us,us7000c8v8,2020-11-01T04:05:53.040Z,"southern Sumatra, Indonesia",earthquake,7.9,5.5,0.095,34,reviewed,us,us,tram xxx,1
2020-11-01T03:13:02.600Z,27.2686,128.828,22.8,4.6,mb,,94,0.656,0.97,us,us7000c8v2,2020-11-01T11:15:31.879Z,"110 km NE of Nago, Japan",earthquake,4.3,5.6,0.1,30,reviewed,us,us,tram xxx,1
2020-11-01T03:01:58.210Z,17.9481,-67.062,11,2.75,md,20,234,0.0278,0.11,pr,pr2020306001,2020-11-01T03:20:47.253Z,"3 km SSW of La Parguera, Puerto Rico",earthquake,0.6,0.3,0.31,16,reviewed,pr,pr,tram xxx,1
2020-11-01T02:47:33.413Z,-18.689,-69.9955,85.68,4.6,mb,,96,0.324,1.15,us,us7000c8un,2020-11-01T03:12:41.040Z,"Tarapaca, Chile",earthquake,5.5,7.7,0.137,17,reviewed,us,us,tram xxx,1
2020-11-01T02:46:34.540Z,18.0315,-66.7535,15,2.69,md,21,98,0.1378,0.19,pr,pr2020306002,2020-11-01T03:40:28.733Z,"2 km NE of Magas Arriba, Puerto Rico",earthquake,0.53,0.38,0.2,15,reviewed,pr,pr,tram xxx,1
2020-11-01T02:28:21.810Z,34.5126667,-86.6156667,13.07,2.62,md,26,51,0.36,0.19,se,se60313582,2020-11-03T05:05:27.512Z,"13 km SE of Triana, Alabama",earthquake,0.33,1.09,0.184,15,reviewed,se,se,tram xxx,1
2020-11-01T01:50:56.929Z,31.6243,-104.4939,5,2.7,ml,,69,0.044,0.35,us,us7000c8u5,2020-11-01T02:03:08.040Z,"62 km S of Whites City, New Mexico",earthquake,1.8,2,0.074,64,reviewed,us,us,tram xxx,1
2020-11-01T01:21:21.430Z,-22.0723,-65.9422,263.3,4.5,mb,,47,2.245,1.16,us,us7000c8tq,2020-11-01T01:38:13.040Z,"35 km W of Villazón, Bolivia",earthquake,8.5,8.7,0.035,236,reviewed,us,us,tram xxx,1
2020-11-01T00:47:37.308Z,31.5826,-104.2486,5,3.1,ml,,58,0.172,0.57,us,us7000c8t3,2020-11-01T01:29:06.040Z,"52 km NW of Toyah, Texas",earthquake,1.8,2,0.05,82,reviewed,us,us,tram xxx,1
2020-10-31T23:00:22.428Z,57.0112,-155.8243,16.2,2.8,ml,,,,0.9,ak,ak020e0slvdc,2020-11-01T00:07:20.040Z,"100 km W of Akhiok, Alaska",earthquake,,1.8,,,automatic,ak,ak,tram xxx,1
2020-10-31T22:05:43.460Z,37.8209,26.9127,15.46,4,mb,,64,1.459,0.77,us,us7000c8s0,2020-10-31T22:28:33.040Z,"4 km NNE of Kokkári, Greece",earthquake,4.9,6.6,0.299,3,reviewed,us,us,tram xxx,1
